year;month;param1;param2;param3;param4;param5;sel_type;fleet_segment
2054;Feb;300;150;150;;;6;Fleet1
2054;Mar;300;150;150;;;6;Fleet1
2054;Apr;300;150;150;;;6;Fleet1
2054;May;300;150;150;;;6;Fleet1
2054;Jun;300;150;150;;;6;Fleet1
2054;Jul;300;150;150;;;6;Fleet1
2054;Aug;300;150;150;;;6;Fleet1
2054;Set;300;150;150;;;6;Fleet1
2054;Oct;300;150;150;;;6;Fleet1
2054;Nov;300;150;150;;;6;Fleet1
2054;Dec;300;150;150;;;6;Fleet1
2055;Jan;300;150;150;;;6;Fleet1
2055;Feb;300;150;150;;;6;Fleet1
2055;Mar;300;150;150;;;6;Fleet1
2055;Apr;300;150;150;;;6;Fleet1
2055;May;300;150;150;;;6;Fleet1
2055;Jun;300;150;150;;;6;Fleet1
2055;Jul;300;150;150;;;6;Fleet1
2055;Aug;300;150;150;;;6;Fleet1
2055;Set;300;150;150;;;6;Fleet1
2055;Oct;300;150;150;;;6;Fleet1
2055;Nov;300;150;150;;;6;Fleet1
2055;Dec;300;150;150;;;6;Fleet1
2056;Jan;300;150;150;;;6;Fleet1
2056;Feb;300;150;150;;;6;Fleet1
2056;Mar;300;150;150;;;6;Fleet1
2056;Apr;300;150;150;;;6;Fleet1
2056;May;300;150;150;;;6;Fleet1
2056;Jun;300;150;150;;;6;Fleet1
2056;Jul;300;150;150;;;6;Fleet1
2056;Aug;300;150;150;;;6;Fleet1
2056;Set;300;150;150;;;6;Fleet1
2056;Oct;300;150;150;;;6;Fleet1
2056;Nov;300;150;150;;;6;Fleet1
2056;Dec;300;150;150;;;6;Fleet1
2057;Jan;300;150;150;;;6;Fleet1
2057;Feb;300;150;150;;;6;Fleet1
2057;Mar;300;150;150;;;6;Fleet1
2057;Apr;300;150;150;;;6;Fleet1
2057;May;300;150;150;;;6;Fleet1
2057;Jun;300;150;150;;;6;Fleet1
2057;Jul;300;150;150;;;6;Fleet1
2057;Aug;300;150;150;;;6;Fleet1
2057;Set;300;150;150;;;6;Fleet1
2057;Oct;300;150;150;;;6;Fleet1
2057;Nov;300;150;150;;;6;Fleet1
2057;Dec;300;150;150;;;6;Fleet1
2058;Jan;300;150;150;;;6;Fleet1
2058;Feb;300;150;150;;;6;Fleet1
2058;Mar;300;150;150;;;6;Fleet1
2058;Apr;300;150;150;;;6;Fleet1
2058;May;300;150;150;;;6;Fleet1
2058;Jun;300;150;150;;;6;Fleet1
2058;Jul;300;150;150;;;6;Fleet1
2058;Aug;300;150;150;;;6;Fleet1
2058;Set;300;150;150;;;6;Fleet1
2058;Oct;300;150;150;;;6;Fleet1
2058;Nov;300;150;150;;;6;Fleet1
2058;Dec;300;150;150;;;6;Fleet1
2059;Jan;300;150;150;;;6;Fleet1
2059;Feb;300;150;150;;;6;Fleet1
2059;Mar;300;150;150;;;6;Fleet1
2059;Apr;300;150;150;;;6;Fleet1
2059;May;300;150;150;;;6;Fleet1
2059;Jun;300;150;150;;;6;Fleet1
2059;Jul;300;150;150;;;6;Fleet1
2059;Aug;300;150;150;;;6;Fleet1
2059;Set;300;150;150;;;6;Fleet1
2059;Oct;300;150;150;;;6;Fleet1
2059;Nov;300;150;150;;;6;Fleet1
2059;Dec;300;150;150;;;6;Fleet1
2060;Jan;300;150;150;;;6;Fleet1
2060;Feb;300;150;150;;;6;Fleet1
2060;Mar;300;150;150;;;6;Fleet1
2060;Apr;300;150;150;;;6;Fleet1
2060;May;300;150;150;;;6;Fleet1
2060;Jun;300;150;150;;;6;Fleet1
2060;Jul;300;150;150;;;6;Fleet1
2060;Aug;300;150;150;;;6;Fleet1
2060;Set;300;150;150;;;6;Fleet1
2060;Oct;300;150;150;;;6;Fleet1
2060;Nov;300;150;150;;;6;Fleet1
2060;Dec;300;150;150;;;6;Fleet1
